;time_in_ms;TransGroundSpeed;LonGroundSpeed;RPMOrder;AzimuthOrder;CourseTrue;x;y
1847017;1540296164409;0.7;8.12;64.425774;-1.006158;93.83;-112.14235896999978;1092.3259777210146
1847018;1540296165409;0.62;8.12;64.425774;-1.021138;93.35;-109.6296451230903;1092.1703046091475
1847019;1540296166409;0.63;8.13;64.425774;-0.731525;93.51;-107.10892900283169;1092.0213032026163
1847020;1540296167409;0.62;8.08;64.70587900000001;-0.7140479999999999;93.59;-104.59821572434831;1091.8711898444058
1847021;1540296168409;0.66;8.08;64.425774;-0.731525;93.98;-102.0980054296801;1091.708845028783
1847022;1540296169409;0.69;8.08;64.425774;-0.729028;94.33;-99.59279371407986;1091.520925343495
1847023;1540296170409;0.61;8.07;64.425774;-0.4269310000000001;93.83;-97.09558427182873;1091.3485729706579
1847024;1540296171409;0.69;8.1;64.425774;-0.424434;94.15;-94.59087269835723;1091.173996695252
1847025;1540296172409;0.65;8.13;64.425774;-0.721538;93.71;-92.07765870940783;1090.9983084681664
1847026;1540296173409;0.66;8.1;64.425774;-0.843875;93.65;-89.56594514657814;1090.8415234062002
1847027;1540296174409;0.75;8.12;64.425774;-1.021138;94.29;-87.05223101550001;1090.6669471307944
1847028;1540296175409;0.73;8.12;64.425774;-1.016145;94.29;-84.53901702655062;1090.4779154961973
1847029;1540296176409;0.73;8.11;64.14565999999999;-1.021138;94.35;-82.02180190083783;1090.2877719091307
1847030;1540296177409;0.72;8.1;64.14565999999999;-0.998668;94.32;-79.51108862235446;1090.0942924709761
1847031;1540296178409;0.6;8.12;64.425774;-1.018642;93.61;-76.99837477544496;1089.9308357036734
1847032;1540296179409;0.72;8.12;64.425774;-0.726531;94.6;-74.4831602181583;1089.7551474781685
1847033;1540296180409;0.76;8.14;64.70587900000001;-0.724035;94.72;-71.96344438197949;1089.5505485303304
1847034;1540296181409;0.75;8.13;64.70587900000001;-0.736518;94.43;-69.4422281195921;1089.3470615357521
1847035;1540296183409;0.66;8.13;64.70587900000001;-1.013649;93.31;-64.39829516860884;1089.0012448368182
1847036;1540296184409;0.74;8.09;64.425774;-1.313249;93.75;-61.88408089531312;1088.8566912330543
1847037;1540296185409;0.74;8.09;64.425774;-1.607856;93.83;-59.37286747470101;1088.6843388594273
1847038;1540296186409;0.64;8.05;64.425774;-1.318242;93.13;-56.870156469655626;1088.5342255020068
1847039;1540296187409;0.64;8.08;64.425774;-1.313249;93.15;-54.36994617489858;1088.4074631116825
1847040;1540296188409;0.7;8.11;64.425774;-1.318242;93.8;-51.85723232798909;1088.2562378025827
1847041;1540296189409;0.63;8.13;64.70587900000001;-1.313249;93.55;-49.343518196910956;1088.0983407889369
1847042;1540296190409;0.6;8.18;64.70587900000001;-1.021138;93.59;-46.81129880857969;1087.9448915788485
1847043;1540296191409;0.61;8.16;64.425774;-0.731525;93.75;-44.276078567742495;1087.7836587149047
1847044;1540296192409;0.58;8.14;64.425774;-0.726531;93.65;-41.755862589523765;1087.6190899959229
1847045;1540296193409;0.62;8.13;64.425774;-0.721538;94.04;-39.23864746389981;1087.4589690804983
1847046;1540296194409;0.69;8.13;64.425774;-0.724035;94.73;-36.71843148568108;1087.263265740565
1847047;1540296195409;0.59;8.12;64.425774;-0.421937;94.26;-34.20371707034546;1087.0686743515214
1847048;1540296196409;0.57;8.11;64.425774;-0.424434;94.22;-31.691003223524817;1086.8874263707794
1847049;1540296197409;0.64;8.13;64.425774;-0.4269310000000001;94.92;-29.179789803090397;1086.6939469318347
1847050;1540296198409;0.61;8.17;64.425774;-0.4294270000000001;95.0;-26.65307197746455;1086.473780674706
1847051;1540296199409;0.55;8.15;64.425774;-0.434421;94.88;-24.132355857205926;1086.259174170444
1847052;1540296200409;0.58;8.17;64.425774;0.164474;95.32;-21.609639168521174;1086.0378959624263
1847053;1540296201409;0.62;8.15;64.425774;0.751518;95.69;-19.08842290595612;1085.8010504419576
1847054;1540296202409;0.54;8.13;64.425774;0.754049;95.13;-16.57270820680723;1085.5586451702022
1847055;1540296203409;0.65;8.09;64.425774;0.754049;95.83;-14.06899691741552;1085.3351430580356
1847056;1540296204409;0.79;8.1;64.425774;0.748988;96.76;-11.56828648070742;1085.04269999863
1847057;1540296205409;0.65;8.08;64.425774;0.182186;95.79;-9.069576612158915;1084.7758318065191
1847058;1540296206409;0.7;8.09;64.425774;0.164474;96.17;-6.571867027956741;1084.5223070266604
1847059;1540296207409;0.67;8.07;64.425774;0.169534;96.01;-4.074657585705621;1084.2543268828701
1847060;1540296208409;0.63;8.07;64.425774;0.154352;95.68;-1.5844501327238394;1084.0008021014316
1847061;1540296209409;0.73;8.07;64.425774;0.159413;96.02;0.9122591675762229;1083.7506131718708
1847062;1540296210409;0.86;8.04;64.425774;-0.436917;96.38;3.4029667624202187;1083.4726254732366
1847063;1540296211409;0.8;8.02;64.425774;-0.434421;95.67;5.885672084092765;1083.2113170347825
1847064;1540296212409;0.77;8.05;64.425774;-0.724035;95.39;8.372878684479778;1082.977807367772
1847065;1540296213409;0.76;8.07;64.425774;-0.729028;95.18;10.871088410810696;1082.7520813561966
1847066;1540296214409;0.8;8.1;64.425774;-0.721538;95.33;13.37479970020241;1082.518571688396
1847067;1540296215409;0.78;8.07;64.425774;-1.018642;95.03;15.875510137088197;1082.2883978732632
1847068;1540296216409;0.69;8.11;64.425774;-1.021138;94.39;18.37922142630222;1082.0815750244365
1847069;1540296217409;0.66;8.16;64.14565999999999;-1.001165;94.23;20.900437688778432;1081.90811069992
1847070;1540296218409;0.8;8.13;64.425774;-0.998668;95.1;23.424654803582886;1081.699063952475
1847071;1540296219409;0.76;8.13;64.70587900000001;-1.016145;94.73;25.934367797986447;1081.4800096438655
1847072;1540296220409;0.69;8.14;64.70587900000001;-1.018642;94.56;28.454083634165276;1081.2731867934585
1847073;1540296221409;0.7;8.16;64.70587900000001;-0.793941;94.85;30.978800891009623;1081.0741476024375
1847074;1540296222409;0.8;8.16;64.425774;-0.731525;95.58;33.50501857432904;1080.840637935427
1847075;1540296223409;0.74;8.12;64.425774;-0.734021;95.08;36.02023313170456;1080.6071282676262
1847076;1540296224409;0.72;8.1;64.425774;-0.726531;95.06;38.534947547040176;1080.3914098132648
1847077;1540296225409;0.67;8.07;64.425774;-0.726531;94.92;41.036158125877016;1080.1734674571248
1847078;1540296226409;0.69;8.06;64.14565999999999;-0.721538;95.19;43.53536813646542;1079.9644207065196
1847079;1540296227409;0.79;8.02;64.425774;-0.726531;96.06;46.02207459481253;1079.7186795805164
1847080;1540296228409;0.73;8.05;64.425774;-0.721538;95.7;48.509781337239446;1079.4573711436421
1847081;1540296229409;0.65;8.09;64.425774;-0.721538;95.14;51.00849120578795;1079.2260853776202
1847082;1540296230409;0.66;8.11;64.425774;-0.726531;95.1;53.50920164249606;1079.0059191197015
1847083;1540296231409;0.74;8.11;64.425774;-0.739015;95.52;56.01741421060223;1078.7701855509122
1847084;1540296232409;0.73;8.11;64.425774;-0.724035;95.39;58.52512663666852;1078.528892226886
1847085;1540296233409;0.74;8.1;64.425774;-0.729028;95.63;61.030338352268764;1078.2853750026613
1847086;1540296234409;0.71;8.08;64.425774;-0.731525;95.52;63.535550067869025;1078.0407458267573
1847087;1540296235409;0.69;8.11;64.70587900000001;-0.736518;95.62;66.04426277810394;1077.7972286025326
1847088;1540296236409;0.66;8.07;64.425774;-0.729028;95.55;68.54447307277213;1077.5548233291972
1847089;1540296237409;0.69;8.03;64.425774;-0.721538;95.95;71.03017924695061;1077.3046343996366
1847090;1540296238409;0.65;8.02;64.425774;-0.13482;95.72;73.51038385824597;1077.0533335207667
1847091;1540296239409;0.67;8.03;64.425774;-0.129827;96.01;75.99208889566103;1076.8009206886372
1847092;1540296240409;0.69;8.04;64.425774;0.169534;96.18;78.47829521187941;1076.5373883491943
1847093;1540296241409;0.7;8.05;64.425774;0.748988;96.23;80.96050039151206;1076.2682962560948
1847094;1540296242409;0.69;8.11;64.425774;0.288462;95.95;83.4617109703489;1075.9980922128962
1847095;1540296243409;0.76;8.13;64.425774;-0.137317;96.21;85.97192410679236;1075.7390076762206
1847096;1540296244409;0.78;8.13;64.70587900000001;-0.736518;95.97;88.48463795370186;1075.4676916845026
1847097;1540296245409;0.78;8.1;64.425774;-0.734021;95.82;90.99135009542181;1075.2097190979264
1847098;1540296246409;0.69;8.09;64.425774;-0.7140479999999999;95.03;93.49556152703111;1074.9739855275568
1847099;1540296247409;0.68;8.05;64.425774;-0.726531;95.0;95.99227082706463;1074.7616029266537
1847100;1540296248409;0.73;8.05;64.425774;-0.726531;95.29;98.48047771170913;1074.538100815277
1847101;1540296249409;0.72;8.07;64.425774;-0.726531;95.16;100.97718701183152;1074.3123748037017
1847102;1540296250409;0.7;8.1;64.425774;-0.724035;95.18;103.47739730649971;1074.0910965948938
1847103;1540296251409;0.77;8.11;64.425774;-0.726531;95.79;105.9901111534092;1073.8464674197796
1847104;1540296252409;0.71;8.1;64.425774;-0.729028;95.41;108.5008244319814;1073.6018382446657
1847105;1540296253409;0.67;8.07;64.425774;-0.721538;95.14;111.00303529507573;1073.3827839368464
1847106;1540296254409;0.69;8.05;64.425774;-0.711551;95.26;113.49674374260336;1073.1592818270497
1847107;1540296255409;0.66;8.01;64.425774;-0.726531;95.05;115.98345020103932;1072.9368916673525
1847108;1540296256409;0.7;8.02;64.425774;-0.729028;95.27;118.4601538177;1072.7178373611132
1847109;1540296257409;0.69;8.02;64.425774;-0.729028;95.1;120.9408585709464;1072.489887446969
1847110;1540296258409;0.68;8.06;64.425774;-0.721538;94.81;123.42906545550207;1072.2752809434971
1847111;1540296259409;0.69;8.12;64.425774;-0.729028;94.7;125.93127631859639;1072.074017848327
1847112;1540296260409;0.82;8.11;64.425774;-1.018642;95.6;128.44849144430918;1071.85162768942
1847113;1540296261409;0.73;8.12;64.70587900000001;-1.016145;95.21;130.95820443871278;1071.6125582679624
1847114;1540296262409;0.64;8.16;64.70587900000001;-0.746505;95.15;133.4779202748916;1071.3935039609332
1847115;1540296263409;0.64;8.12;64.70587900000001;-0.721538;95.44;135.9966358267241;1071.1577703921437
1847116;1540296264409;0.72;8.11;64.425774;-0.716545;96.08;138.50634882112763;1070.9131412162396
1847117;1540296265409;0.73;8.08;64.14565999999999;-5.43775;96.37;141.01256082080772;1070.6329296158272
1847118;1540296266409;0.58;8.06;64.425774;-6.299101;95.71;143.50176798970966;1070.3727331290522
1847119;1540296267409;0.52;8.06;64.425774;-6.304094;95.97;145.98797430592805;1070.1303278549267
1847120;1540296268409;0.54;8.04;64.425774;-6.011984;96.74;148.46867905926334;1069.8545640572813
